Arthur J. Lei's Film List,,,,,,
,,,,,,
Title,Date,Note,Film Index/Counter,Note,Genre,Sequel/Prequel Status
1984,Summer 2005,,1,,,0
8.50,Summer 2004,,2,,,0
101 Dalmations,Early 1990s,,3,,,0
12 Angry Men,Early 2000s,,4,,,
12 Monkeys,Summer 2004,,5,,,
2001: A Space Odyssey,Unknown,,6,,,
25th Hour,Summer 2004,,7,,,
28 Days Later,Time of Release,,8,,,
A Beautiful Mind,Time of Release,,9,,,
A Better Tomorrow,Summer 2005,,10,,,
A Better Tomorrow 2,Summer 2005,,11,,,
A Bridge Too Far,Summer 2005,,12,,,
A Day at the Races,Unknown,,13,,,
A Fish Called Wanda,Unknown,,14,,,
A Fistful of Dollars,Unknown,,15,,,
A Funny Thing Happened On the Way to the Forum,High School,,16,,,
A Night in Casablanca,High school,,17,,,
A Shot in the Dark,High school,,18,,,
A Trip to the Moon,High School,,19,,,
"A Very, Long Engagement",High School,,20,,,
Absence of Malice,Middle School,,21,,,
Adaptation,High School,,22,,,
AI: Artificial Intelligence,Unknown,,23,,,
Akira,High School,,24,,,
Aladdin,Elementary School,,25,,,
Aladdin II: The Return of Jafar,Elementary School,,26,,,1
Alice Doesn't Live Here Anymore,Middle School,,27,,,
Alien,High School,,28,,,
Alien vs. Predator,High School,,29,,,1
Aliens,High School,,30,,,
All About Eve,High School,,31,,,
All Quiet On the Western Front (1930),Middle School,,32,,,
All Through The Night,Middle School,,33,,,
Amelie,High School,,34,,,
American Beauty,High School,,35,,,
And Now For Something Completely Different,High School,,36,,,
Animal Crackers,High School,,37,,,
Animal House,High School,,38,,,
Annie Hall,High School (junior year),,39,,,
Apocalypse Now: Redux,High School,,40,,,
Armageddeon,High School,,41,,,
Arsenic and Old Lace,High School,,42,,,
As Good As It Gets,Elementary School,,43,,,
Bananas,Middle School,,44,,,
Batman,High School,,45,,,
Batman (1966),High School,,46,,,
Batman and Robin,Elementary School,,47,,,1
Batman Forever,Elementary School,,48,,,1
Batman Returns,High School,,49,,,1
Batman: Mask of the Phantasm,Elementary School,,50,,,
Battlefield Earth,High School,,51,,,
Bean: the Movie,Elementary School,,52,,,
Beauty and the Beast,Elementary School,,53,,,
Becket,High School,,54,,,
Beethoven,Elementary School,,55,,,
Being John Malkovich,High School,,56,,,
Ben-Hur,Middle School,,57,,,
Better Luck Tomorrow,High School,,58,,,
Bicentennial Man,Middle School,,59,,,
Big Fish,Time of Release,,60,,,
Blade Runner,High School,,61,,,
Blazing Saddles,High School,,62,,,
Bowling for Columbine,Summer 2005,,63,,,
Bram Stoker's Dracula,Summer 2006,,64,,,
Brazil,High School,,65,,,
Breakfast at Tiffany's,Spring 2005,,66,,,
Bridge on The River Kwai,High School,,67,,,
Buck Rogers in the 25th Century,Middle School,,68,,,
Bulletproof Monk,Time of Release,,69,,,
Butch Cassidy and the Sundance Kid,Middle School,,70,,,
Bwana Devil,Middle School,,71,,,
Captain America,Middle School,,72,,,
Casablanca,1990s,,73,,,
Casino Royale,Summer 2005,,74,,,2
Cat on A Hot Tin Roof,Summer 2005,,75,,,
Catch-22,Summer 2003,,76,,,
Charlie and The Chocolate Factory,Unknown,,77,,,
Charlie's Angels,Summer 2001,,78,,,
Chicago,Time of Release,,79,,,
Chicken Run,Time of Release,,80,,,
Chinatown,Summer 2004,,81,,,
Chitty-Chitty Bang Bang,Unknown,,82,,,
Citizen Kane,Unknown,,83,,,
City of God,Summer 2004,,84,,,
Clash of the Titans,Unknown,,85,,,
Collateral,Time of Release,,86,,,
Cool Hand Luke,1990s,,87,,,
Cowboy Bebop: The Movie,Fall 2005,,88,,,
"Crouching Tiger, Hidden Dragon",Time of Release,,89,,,
Cyrano De Bergerac-(1950),High School,,90,,,
Dances with Wolves,Middle School,,91,,,
Dante's Peak,Winter 1990,,92,,,
Daredevil,Time of Release,,93,,,
Das Boot,Spring 2005,,94,,,
Dead Men Don't Wear Plaid,2001 or 2000,,95,,,
Dead Poets Society,Early 1990s,,96,,,
Deadly China Hero,Fall 1999,,97,,,1
Death on the Nile,Late 1990s,,98,,,1
De-Lovely,July 2004,,99,,,
Dennis the Menace,Unknown,,100,,,
Desperado,Fall 2004,,101,,,1
Dick Tracy,Unknown,,102,,,
Die Another Day,Time of Release,,103,,,2
Die Hard,Summer 2004,,104,,,
Dirty Harry,Summer 2004,,105,,,
Dirty Pretty Things,Summer 2004,,106,,,
Dogma,Summer 2004,,107,,,
Donnie Brasco,Fall 2005,,108,,,
Double Indemnity,Unknown,,109,,,
Downfall,Spring 2005,,110,,,
Dr Strangelove,Unknown,,111,,,
Dr. No,Unknown,,112,,,2
Dracula (1931),Unknown,,113,,,
Dragonheart,Unknown,,114,,,
Dreams,Unknown,,115,,,
Dressed to Kill,1997 or 1999,,116,,,2
Driving Miss Daisy,June 1999,First film I watched on DVD,117,,,
Drunken Master,Summer 2004,,118,,,
Duck Soup,Unknown,,119,,,
Dumbo,Unknown,,120,,,
El Dorado,Unknown,,121,,,
Enemy at the Gates,Fall 2004,,122,,,
Enter the Dragon,Summer 2004,,123,,,
Equilibrium,Spring 2005,,124,,,
